"","ExperimentName","Subject","Session","Clock.Information","DataFile.Basename","Display.RefreshRate","ExperimentVersion","Group","RandomSeed","RuntimeCapabilities","RuntimeVersion","RuntimeVersionExpected","SessionDate","SessionStartDateTimeUtc","SessionTime","StudioVersion","Block","AccErrorTotal","MathCorrect","MathDuration","MathErrorTotal","mathtime.Block.","OSPAN","OSPAN.Cycle","OSPAN.Sample","OspanAbsoluteScore","OspanPartialScore","OspanPartialScoreBlock1","OspanPartialScoreBlock2","OspanPartialScoreBlock3","OspanScore","OspanTotal","Procedure.Block.","Running.Block.","SpeedErrorTotal","Trial","answer","BlockList1","BlockList1.Cycle","BlockList1.Sample","BlockList2","BlockList2.Cycle","BlockList2.Sample","BlockList3","BlockList3.Cycle","BlockList3.Sample","CorrectAnswer.Trial.","CorrectAnswerRecord.Trial.","correctResp","LetterPracticeList","LetterPracticeList.Cycle","LetterPracticeList.Sample","math.ACC","math.RT","MathPracticeList","MathPracticeList.Cycle","MathPracticeList.Sample","mathProblems","mathtime.Trial.","numberwrong","PracticeMode","PracticeOSPANlist","PracticeOSPANlist.Cycle","PracticeOSPANlist.Sample","problem","problem.RT","problems","Procedure.Trial.","ReadyForTrial.ACC","ReadyForTrial.RT","Running.Trial.","setlength","setsi","setsize1","setsize2","setsize3","setsz","sizeset","SpanScore.Trial.","SpanTotal.Trial.","SubTrial","CorrectAnswer.SubTrial.","correctAnswerPercentage","correctAnswerPercentage1","correctAnswerPercentage2","CorrectAnswerRecord.SubTrial.","difficulty","letters","lettershow","letterstimuli","MathCorr","operations","operations1","operations2","percrand","PracticeLetterList","practicelist","practicelist.Cycle","practicelist.Sample","practicerecall","practicerecall.Cycle","practicerecall.Sample","Procedure.SubTrial.","randomnumber","randomnumber1","randomnumber2","recalList","recalList.Cycle","recalList.Sample","recalList1","recalList1.Cycle","recalList1.Sample","recalList2","recalList2.Cycle","recalList2.Sample","ResponseRecord","Running.SubTrial.","secondOperation","secondOperation1","secondOperation2","showcorrect","SpanScore.SubTrial.","SpanTotal.SubTrial.","SpanTotalBlock1","SpanTotalBlock2","SpanTotalBlock3","stims","stims1","stims2","Tones","TrialList","TrialList.Cycle","TrialList.Sample","TrialList1","TrialList1.Cycle","TrialList1.Sample","TrialList2","TrialList2.Cycle","TrialList2.Sample","Subject.1","Response.Type","Strategy.RESP"
"1","Tone Span Fall2017_itemScoring",1001,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-09T19:00:29Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117851</Frequency><Timestamp dt:dt=""r8"">7322819285262</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-09T19:00:29Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1001-1",59.932,"1.0.0.175",1,-99753574,"Professional","2.0.10.356","2.0.10.356","11/9/17","11/9/17 19:00","13:00:29","2.0.10.252",4,4,76,NA,5,3814.5,5,1,4,32,47,13,17,17,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HLMMLHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8356,2,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,FALSE,8,NA,NA,"HLMMLHL",2,NA,NA,"H",FALSE,47,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",6,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1001","RESPONSE","Repeat the previous notes between each problem. "
"91","Tone Span Fall2017_itemScoring",1002,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-13T18:39:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1344548150396</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-13T18:39:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1002-1",59.932,"1.0.0.175",1,224007129,"Professional","2.0.10.356","2.0.10.356","11/13/17","11/13/17 18:39","12:39:14","2.0.10.252",4,3,77,NA,4,3867.077922,5,1,4,51,64,25,19,20,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLLMHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9056,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,FALSE,10,NA,NA,"HMLLMHM",1,NA,NA,"H",FALSE,20,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",4,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1002","RESPONSE","i just repeated the tones in the order in my head after every math problem from the beginning.  "
"181","Tone Span Fall2017_itemScoring",1003,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-13T18:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117851</Frequency><Timestamp dt:dt=""r8"">8396157748810</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-13T18:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1003-1",59.933,"1.0.0.175",1,-503112120,"Professional","2.0.10.356","2.0.10.356","11/13/17","11/13/17 18:39","12:39:19","2.0.10.252",4,1,77,NA,4,4220.532468,5,1,4,26,60,21,19,20,NA,NA,"SessionProc","OSPAN",3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9838,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,2,NA,NA,3,NA,"?","?",1,TRUE,4,NA,NA,"MHL",1,NA,NA,"M",TRUE,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",8,NA,NA,1,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1003","RESPONSE","I converted the sounds into numbers. L=1 M=2 H=3. Then I kept count on my fingers how many sounds played. a repeated the number i would make back to myself. 1 then 13 then 132 then132312LEFTARROWLEFTARROWLEFTARROWLEFTARROWRIGHTARROWRIGHTARROWRIGHTARROWRIGHTARROW  "
"271","Tone Span Fall2017_itemScoring",1004,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-13T20:37:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117851</Frequency><Timestamp dt:dt=""r8"">8418303715951</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-13T20:37:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1004-1",59.932,"1.0.0.175",1,168017613,"Professional","2.0.10.356","2.0.10.356","11/13/17","11/13/17 20:37","14:37:42","2.0.10.252",4,1,80,NA,1,4519.3375,5,1,4,61,73,24,24,25,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHLMHLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16714,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,2,NA,NA,"MHLMHLM",1,NA,NA,"M",TRUE,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",6,NA,NA,1,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1004","RESPONSE","I used my fingers to count and to remember the order of the tones. "
"361","Tone Span Fall2017_itemScoring",1005,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-14T17:08:29Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1596906691600</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-14T17:08:29Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1005-1",59.932,"1.0.0.175",1,-820542748,"Professional","2.0.10.356","2.0.10.356","11/14/17","11/14/17 17:08","11:08:29","2.0.10.252",4,4,77,NA,4,2754.064935,5,1,4,25,50,13,16,21,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HLMMHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9047,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,5,NA,NA,6,NA,"?","?",1,FALSE,6,NA,NA,"HLMMHL",1,NA,NA,"H",FALSE,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",16,NA,NA,2,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1005","RESPONSE","i tried to keep track of the sounds using my fingers "
"451","Tone Span Fall2017_itemScoring",1006,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-14T17:10:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117851</Frequency><Timestamp dt:dt=""r8"">8648842231673</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-14T17:10:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1006-1",59.932,"1.0.0.175",1,-1221700711,"Professional","2.0.10.356","2.0.10.356","11/14/17","11/14/17 17:10","11:10:17","2.0.10.252",4,6,73,NA,8,2268.821918,5,1,4,50,65,22,20,23,NA,NA,"SessionProc","OSPAN",2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"HMLHLMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5359,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,TRUE,2,NA,NA,"HMLHLMH",1,NA,NA,"H",TRUE,36,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",12,NA,NA,1,"?","?",NA,NA,NA,3,NA,NA,"High.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1006","RESPONSE","I mouthed the word of each tone after I heard it in order to memorize it "
"541","Tone Span Fall2017_itemScoring",1007,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-14T19:01:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1618093968228</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-14T19:01:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1007-1",59.932,"1.0.0.175",1,-1108500975,"Professional","2.0.10.356","2.0.10.356","11/14/17","11/14/17 19:01","13:01:44","2.0.10.252",4,5,75,NA,5,1326.053333,5,1,4,3,7,1,3,3,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4395,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,2,NA,NA,3,NA,"?","?",1,FALSE,10,NA,NA,"MHL",1,NA,NA,"M",FALSE,21,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",10,NA,NA,2,"?","?",NA,NA,NA,2,NA,NA,"Middle.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1007","RESPONSE","I could not use any strategies. My average math time was too fast. "
"631","Tone Span Fall2017_itemScoring",1008,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-14T19:00:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117851</Frequency><Timestamp dt:dt=""r8"">8669548004356</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-14T19:00:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1008-1",59.932,"1.0.0.175",1,-1990765523,"Professional","2.0.10.356","2.0.10.356","11/14/17","11/14/17 19:00","13:00:58","2.0.10.252",4,4,76,NA,5,5110.078947,5,1,4,65,71,23,25,23,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LMHHMLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12518,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,6,NA,NA,7,NA,"?","?",1,FALSE,9,NA,NA,"LMHHMLM",1,NA,NA,"L",FALSE,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"TrialProc",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",2,NA,NA,2,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1008","RESPONSE","i would constantly repeat the order of the tones in my head "
"721","Tone Span Fall2017_itemScoring",1009,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-15T18:42:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1883802360279</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-15T18:42:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1009-1",59.932,"1.0.0.175",1,-1687661491,"Professional","2.0.10.356","2.0.10.356","11/15/17","11/15/17 18:42","12:42:22","2.0.10.252",4,6,73,NA,6,2197.383562,5,1,4,8,30,9,8,13,NA,NA,"SessionProc","OSPAN",0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHMLMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5562,0,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,5,NA,NA,6,NA,"?","?",1,TRUE,3,NA,NA,"LHMLMH",1,NA,NA,"L",TRUE,31,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",14,NA,NA,1,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1009","RESPONSE","constantly repeating to myself L, M, H depending on the order they fell in and then answered those based on that if i could remember them all "
"811","Tone Span Fall2017_itemScoring",1010,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-11-15T20:42:53Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117822</Frequency><Timestamp dt:dt=""r8"">1906345585973</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-11-15T20:42:53Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","Tone Span Fall2017_itemScoring-1010-1",59.932,"1.0.0.175",1,-619691193,"Professional","2.0.10.356","2.0.10.356","11/15/17","11/15/17 20:42","14:42:53","2.0.10.252",4,4,76,NA,5,1479.921053,5,1,4,49,65,19,23,23,NA,NA,"SessionProc","OSPAN",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"LHMLHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3756,1,"No",NA,NA,NA,NA,NA,NA,"BlockProc",NA,NA,"BlockList1",NA,NA,5,NA,NA,6,NA,"?","?",1,TRUE,1,NA,NA,"LHMLHM",1,NA,NA,"L",TRUE,16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"TrialProc",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","TrialList",16,NA,NA,1,"?","?",NA,NA,NA,1,NA,NA,"Low.wav",1,8,7,NA,NA,NA,NA,NA,NA,"1010","RESPONSE","I used the 1st, 3rd, and 5th finger of my left hand and designated each as L M or H and repeated the pattern after each math problem, while adding the most recent tone "
